Дата,Текст,Просмотры
2025-08-04 10:03:01,"Научитесь эффективно использовать нейросети в своей работе. Начните с бесплатного мини-курса «Data Science с нуля: пробуем профессии на практике за 5 дней». Data Science — это основа всех современных ИИ-решений. Разберитесь, как она работает и где востребованы специалисты по данным.  На практике вы: ✅ Напишете нейросеть для подбора новостей ✅ Создадите чат-бота на Python, который отвечает с помощью ИИ ✅ Освоите визуализацию данных ✅ Разберётесь, в чём разница между аналитиком, ML- и дата-инженером ✅ Узнаете, где сейчас платят за такие навыки и как войти в профессию  🔥 Бонус: откроем доступ к записям конференции по нейросетям после первого урока. Узнаете, как использовать ИИ в работе и жизни.  Всё — в формате коротких видеоуроков с практикой. Подойдёт даже тем, кто никогда не писал код. Успейте зарегистрироваться:https://epic.st/spxQaP?erid=2VtzqvP4Dvg 👉 Доступ ко всем материалам — бессрочный. Плюс подарки внутри.",1641
2025-08-04 08:03:01,"Junior DevOps Engineer  Компания: Metacommerce З/П: от 120 000 до 180 000₽ Формат работы: Удалённо Источник вакансии: HH  Чем предстоит заниматься: - Настраивать непрерывную интеграцию и доставку-развертывание (CI/CD) на GitLab. - Находить и устранять неисправности в процессе CI/CD. - Мониторить и устранять неполадки в инфраструктуре и приложениях для обеспечения высокой доступности и производительности. - Участвовать в построении масштабируемости и безопасности инфраструктуры. - Поддерживать инфраструктуру. - Создавать и поддерживать среды разработки и тестирования.  Что ожидаем от будущего коллеги: - Опыт работы с серверами Linux, пакетными менеджерами. - Опыт работы с Docker, Kaniko, LXC. - Опыт работы с GitLab CI, Argo CD или другими CI/CD-системами. - Опыт работы с Kubernetes (k8s/k3s), Helm, Аnsible. - Опыт работы с мониторингами: Grafana, Prometheus, Loki.  Будет плюсом: - Опыт сборки собственных пакетов и организации репозиториев. - Понимание методологии GitOps. - Опыт администрирования Kafka. - Опыт работы с системами виртуализации: OpenStack, OpenNebula, Proxmox. - Опыт работы с Elasticsearch, Redis, ClickHouse.  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",1662
2025-08-01 12:33:06,"Junior Game Designer  Компания: Скайтек З/П: до 50 000₽ Формат работы: Удалённо Источник вакансии: HH  Задачи: - Работать над игровым балансом, экономикой и монетизацией - Разрабатывать Live-Ops контент, временные события, акции - Сопровождать фичи на всех этапах — от идеи до релиза, включая тестирование, улучшения и отслеживание показателей - Взаимодействовать с программистами, художниками и другими членами команды для реализации фичей - Изучать рынок и анализировать конкурентов, выявляя удачные решения в аналогичных проектах  Требования: - Игровая насмотренность (mobile/F2P, баттлеры, ККИ) - Высшее образование, высокий средний балл - Системное мышление и хорошая математическая база - Понимание основных метрик: ARPU, LTV, retention - Умение работать с гугл-таблицами  Будет плюсом: - Опыт работы гейм-дизайнером в коммерчески успешных проектах - Опыт создания собственных игр (даже если они не были коммерчески успешны) - Участие в математических или ИТ олимпиадах и призовые места на них - Высокие рейтинги в сложных ""математических"" играх типа классических шахмат, или hearthstone  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2139
2025-08-01 08:03:06,Junior Рекрутер  Компания: DCloud З/П: до 50 000₽ Формат работы: Удалённо Источник вакансии: HH  Что ты будешь делать: - Общаться с кандидатами и сопровождать их на всех этапах подбора. - Назначать и координировать собеседования. - Проводить холодный и теплый поиск кандидатов по различным направлениям.  Что мы ожидаем от тебя: - Желание развиваться в IT-направлении и учиться новому. - Высокие коммуникативные навыки и умение находить общий язык с разными людьми. - Стрессоустойчивость и способность работать в динамичной среде. - Грамотность и внимание к деталям.  Что мы предлагаем: - Удалённый формат работы из любой точки мира. - График работы 5/2 с 9 до 17.  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру,2138
2025-07-31 12:33:06,"Junior аналитик  Компания: Смарт Солюшенс Альянс З/П: не указана Формат работы: Удалённо Источник вакансии: HH  Что вы получите: - Полное погружение в оперативный (торговый) учет в продукте 1С:Управление Торговлей и аналитику на его основе;  -Возможность работы с реальными задачами и практическими кейсами; - Подготовку к сертификации ""1С:Профессионал по 1С:Управление Торговлей"" (оплата экзамена за счет компании);  -Оформление в штат компании на позицию младший аналитик 1С:Управление Торговлей после успешного завершения программы (готовы рассмотреть как частичную, так и полную занятость).  Ваши обязанности во время стажировки: - Обучение аналитике оперативного (торгового) учета в конфигурациях 1С:УТ - Выполнение практических заданий куратора - Подготовка и сдача сертификации ""1С:Профессионал"" (обязательное условие успешного завершения стажировки).  Кого мы ищем: - Наличие высшего образование, или обучение на последних курсах магистратуры (ИТ-специальности, специальности ""Торговое дело"" и ""Экономика торговли"", ""Логистика"" и т.д..); - Опыт работы с 1С на уровне пользователя будет преимуществом; - Знание Excel на среднем уровне (работа с формулами, построение диаграмм и графиков) - обязательно. Ответственных, целеустремленных кандидатов с желанием развиваться в области аналитики.  Мы предлагаем: - Уникальный опыт обучения с реальными задачами; - Поддержку опытного куратора на каждом этапе;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2148
2025-07-31 08:03:06,"Junior QA Engineer  Компания: Top App Games З/П: не указана Формат работы: Удалённо Источник вакансии: HH  Чем предстоит заниматься: - участвовать в обеспечении качества на всех этапах разработки; - писать и поддерживать актуальность тестовой документации - разрабатывать тест-кейсы и чек-листы; - проводить функциональное и нефункциональное тестирование игровых механик и продукта в целом; - участвовать в планировании нового функционала в проекте, анализировать новую документацию от геймдизайнеров.  Мы ожидаем от тебя: - опыт тестирования мобильных игр (iOS и Android) от 0,5 года; - понимания принципов обеспечения качества в игровом проекте; - умение работать с системами контроля версий (Git); - умение работать с тестовыми инструментарием.  Будет плюсом: - богатый игровой опыт, любовь к геймдеву, желание развиваться в сфере тестирования; - техническое образование.  Мы предлагаем: - возможность работать удаленно из любой точки мира; - высокий уровень заработной платы, определяется по итогам собеседования; - амбициозный проект, интересные и сложные задачи;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2121
2025-07-30 12:33:01,"Junior Project manager  Компания: Bridge Agency З/П: от 60 000 до 80 000₽  Формат работы: Удалённо Источник вакансии: HH  Что ты будешь делать: - Вести проекты агентства с момента подтверждения и до закрытия (придумать, договориться, распланировать, проконтролировать, отчитаться); - Грамотно писать сообщения и письма, внимательно считать сметы, держать одновременно на контроле много проектов и задач; - Задавать правильные вопросы, вникать в детали, активно слушать и прогнозировать риски; - Уметь правильно ставить команде задачи и следить за результатом; - Отвечать за поставленную задачу перед клиентом; - Всегда следить за дедлайнами и KPI проекта.  Скиллы, которые будут нужны: - Опыт работы в интернете; - Проактивность. Тебе все интересно и ты не боишься предлагать и спрашивать. - Умение расставлять приоритеты. Выбирать какие задачи важнее и что надо бы сделать как можно скорее; - Качественный подход. Это не просто проекты, они твои; - Умение менеджерить процессы и людей. Ты должен будешь знать, что происходит и кто чем занят; - Стрессоустойчивость. Не всегда все идет по плану. Кто-то может сдвинуть сроки или внести корректировки, будь готов;  От нас: - Максимум свободы и возможностей для самореализации. Мы всегда готовы рассмотреть любые, даже самые необычные, идеи от любого члена команды в независимости от стажа; - Интересные кейсы. Всегда есть над чем подумать и где проявить себя. - Возможность роста. Ты будешь расти в навыках, а вместе с тем будет расти и твой оклад. - Оклад плюс бонусы за каждый успешный проект. Подходи к работе ответственно и бонус у тебя в кармане;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2169
2025-07-30 08:03:01,"Junior PHP-программист  Компания: Мир запчастей России З/П: от 70 000₽ Формат работы: Удалённо Источник вакансии: HH  Чем предстоит заниматься: - Разрабатывать программный кода веб-проектов на PHP;. - Использовать JavaScript (jQuery); - Работать с БД mySQL; - Программировать логику; - Писать компоненты и модули; - Верстать небольшие компоненты; - Необходимо будет разбираться в чужом коде; - Разрабатывать НЕ на фреймворке.  Будет плюсом, но не обязательством, если: - Понимаете работу с серверными технологиями, PHP, MySql; - Есть понимание принципов ООП; - Знание хотя бы одного MVC Фреймворка будет плюсом; - Знание HTML5, CSS3, JavaScript; - Умение строить SQL запросы; - Желание создавать качественный код; - Аккуратность; - И есть законченное высшее образование.  Мы рады предложить вам: - Стабильная заработная плата; - Выплаты 2 раза в месяц; - График работы 5/2 с 9:00 до 18:00 (полностью удалённо); - Оформление в соответствии с ТК РФ (оплачиваемый отпуск 28 календарных дней, больничный);  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2053
2025-07-29 16:03:01,"Junior DevOps Engineer  Компания: MediaNation З/П: до 70 000₽ Формат работы: Удалённо Источник вакансии: HH  Обязанности: - Поддерживать стабильную работу веб-сервисов компании; - Работать с Docker и Docker Compose (включая написание и поддержку `docker-compose.yaml`); - Участвовать в развертывании и мониторинге сервисов в Kubernetes; - Настраивать и поддерживать окружения на базе Linux; - Настраивать Nginx (как балансировщик, прокси и веб-сервер).  Требования: - Опыт работы с Docker и Docker Compose — уверенный уровень; - Знание Linux: базовая администрирование, понимание системных процессов; - Опыт настройки Nginx: конфигурация, редиректы, проксирование; - Базовое представление о Kubernetes (K8s) и желание развиваться в этом направлении.  Взамен мы предлагаем тебе - Возможность выбирать комфортный формат работы: удалённо или гибрид; - Работа в команде профессионалов и наставников;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2098
2025-07-29 14:33:01,"Junior маркетолог  Компания: InternetUrok З/П: от 60 000 до 90 000₽ Формат работы: Удалённо Источник вакансии: HH  Какие задачи предстоит выполнять: - настройка, запуск и ведение рекламных кампаний в «Яндекс Директ», VK Ads, Ozon Performance и т. д.; - анализ эффективности, оптимизация и повышение эффективности рекламных кампаний;  - работа с системой веб-аналитики «Яндекс Метрика»; - сбор семантического ядра; - проведение A/B-тестов;  - написание копирайтов для заголовков и подзаголовков; - ведение отчётности.   Наши пожелания к успешному кандидату: - опыт работы с рекламными кампаниями;  - знание систем «Яндекс Директ» и «Яндекс Метрика»; - знание Telegram Ads, VK Ads, Adfox будет преимуществом;  - умение грамотно составлять семантическое ядро; - умение работать с большим объёмом информации; - пройденные профильные курсы по контекстной рекламе будут преимуществом; - грамотная письменная речь.  Наши условия: - оформление по ТК РФ; - удалённый формат работы или гибрид (по желанию); - полная занятость (5/2, 40 часов в неделю);  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",2004
